Module,Tab Name,Sub Process Name,JS File Name,Previous Csv Names,Proposed CSV Names,Remarks,Manual Files,Client Specific
CUSTOM DEV ABAP,ABAP,System Details,cd_abap_system_details.js,System Details - Veolia.csv,08-01-01.csv,,,
CUSTOM DEV ABAP,ABAP,System Details,cd_abap_system_details.js,Addon.csv,Addon.csv,"Added on March 15, 2022",,
CUSTOM DEV ABAP,ABAP,System Details,cd_abap_system_details.js,Business Function.csv,Business Function.csv,"Added on March 15, 2022",,
CUSTOM DEV ABAP,ABAP,Volumetric Analysis,cd_abap_volumetric_analysis.js,Veolia - Volumetric Analysis - Enhancement Insights .csv,08-02-01.csv,,,
CUSTOM DEV ABAP,ABAP,Volumetric Analysis,cd_abap_volumetric_analysis.js,Veolia - Process Wise distribution.csv,08-02-02.csv,,,
CUSTOM DEV ABAP,ABAP,Volumetric Analysis,cd_abap_volumetric_analysis.js,Volumetric Analysis - Custom Inventory - Veolia.csv,08-02-03.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Interface Insights - Part 1.csv,08-03-01.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Interface Insights - Part2.csv,08-03-02.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Interface Insights - ODATA.csv,08-03-03.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,RFC_Veolia.csv,08-03-04.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Veolia - RFC Analysis.csv,08-03-05.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,IDOC Interface Analysis - Inbound.csv,08-03-06.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Interface Analysis - Outbound.csv,08-03-07.csv,,,
CUSTOM DEV ABAP,ABAP,Interface Insights,cd_abap_interface_insight.js,Custom Interfaces - Veloia.csv,08-03-08.csv,,,
CUSTOM DEV ABAP,ABAP,Usage Analysis,cd_abap_usage_analysis.js,Usage Anlysis - Veolia.csv,08-04-01.csv,,,
CUSTOM DEV ABAP,ABAP,Transport Request Analysis,cd_abap_transport_req.js,Custom Code Transports - Veolia.csv,08-05-01.csv,,,
CUSTOM DEV ABAP,ABAP,Custom Code Quality,cd_abap_custom_code_quality.js,Custom Code Quality - Veolia.csv,08-06-01.csv,,,
